72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-20T12:30,München Basket 2,Slama Jama Gröbenzell,Grundschule Amphionpark,BC Hellenen München,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-01-20T12:30,TSV Neuötting,SV Wacker Burghausen 2,Max-Fellermeier-Volksschule,TuS Töging,,,
Landesliga U14m Süd,2024-01-20T12:45,Baskets Vilsbiburg,BC Hellenen München,Ballsporthalle,TG Landshut,,,
Kreisklasse Herren Südost 23/24,2024-01-20T12:45,SV Seeon,TSV Wasserburg,Schule Seeon,TSV 1860 Rosenheim,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-20T14:00,DJK SB München 2,TSV München-Solln,Fischer-von-Erlach-Halle,Slama Jama Gröbenzell,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-20T14:00,TSV Haar,Haching Baskets,Ernst-Mach-Gymnasium,TS Jahn München 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-20T14:15,Haching Baskets,TSV 1860 München,Lise-Meitner-Gymnasium,TSV Vaterstetten,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-20T14:15,TSV 1865 Dachau,TG Landshut,Jahnhalle,FC Anadolu,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-01-20T14:45,München Basket 2,TSV Ismaning,Grundschule Amphionpark,BC Hellenen München,x,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-20T15:00,SG Poing,VfR Garching 2,Dreifachhalle,TSV Trudering,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-20T15:30,TSV München-Solln,ESV Staffelsee 2,Sporthalle TSV Solln,TV von 1895 Markt Schwaben,x,,
Bezirksklasse Herren Südost  23/24,2024-01-20T15:45,TSV 1860 Rosenheim,TuS Bad Aibling 2,Finsterwalder Gymnasium,TSV Wasserburg,x,,
Kreisklasse Herren Südost 23/24,2024-01-20T16:00,TSV Trostberg 1863,TSV 1860 Rosenheim,Alois-Böck-Halle,SV Wacker Burghausen 2,x,,
Bezirksklasse Herren Südost  23/24,2024-01-20T16:00,TV Traunstein,SV Wacker Burghausen 2,Annette-Kolb-Gymnasium,TuS Traunreut,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-01-20T16:30,SVN München,TuS Holzkirchen,SVN Sportpark,Slama Jama Gröbenzell,x,,
Kreisliga Herren Südost  Saison 23/24,2024-01-20T16:30,TSV Bad Reichenhall 2,Turn- und Sportverein Raubling e.V.,Karlsgymnasium,SV Saaldorf,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-20T17:00,TSV Milbertshofen,TuS Fürstenfeldbruck,Gebrüder-Apfelbeck-Halle,TS Jahn München 2,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-01-20T17:30,MTV München,TSV 1865 Dachau,Berufsfachschule Kinderpflege,TSV München Ost,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-01-20T17:30,Sportfreunde BiH München 2021 e.V.,TSV Vaterstetten,Berufsschule Dreifachhalle,München Basket 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-01-20T17:30,TS Jahn München 2,TuS Bad Aibling 2,Ruth-Drexel-Grundschule,Haching Baskets,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-20T17:45,TSV München-Solln,München Basket 2,Sporthalle TSV Solln,TV von 1895 Markt Schwaben,x,,
Kreisliga Herren Südost  Saison 23/24,2024-01-20T18:00,TSV 1860 Rosenheim,TSV Gars,Finsterwalder Gymnasium,TSV Wasserburg,x,,
Bezirksklasse Herren Südost  23/24,2024-01-20T18:30,SV Seeon,TuS Prien BRIGENNAS,Schule Seeon,SV Wacker Burghausen 2,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-20T19:00,SVN München,TS Jahn München 2,SVN Sportpark,Slama Jama Gröbenzell,x,,
Bezirksklasse Herren Südost  23/24,2024-01-20T19:00,TSV Trostberg 1863,TSV Wasserburg,Alois-Böck-Halle,SV Wacker Burghausen 2,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-20T19:00,TuS Geretsried,TSV Weilheim,Gymnasium Icking,Maccabi München,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-20T20:00,TSV München Ost,TSV Jahn Freising,Ost-Dome 1,München Basket 2,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-01-21T09:45,Slama Jama Gröbenzell,TSV München-Forstenried,Ballsporthalle Gröbenzell,BC Hellenen München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-21T10:30,Baskets Vilsbiburg,TS Jahn München 2,Ballsporthalle,TG Landshut,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-01-21T11:30,TSV Weilheim,TSV Jahn Freising,W.-C.-Röntgen-Mittelschule,TSV München-Solln,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-21T12:00,BC Hellenen München,TSV Weilheim,Adolf-Weber-Gymnasium,SV Mammendorf 2,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-01-21T12:00,DJK SB München 2,TSV München Ost,Fischer-von-Erlach-Halle,SV Mammendorf 2,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-21T12:00,TSV Trudering,TSV Ismaning,Gymnasium Trudering,SVN München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-21T12:15,TG Landshut,DJK SB München 2,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-01-21T12:15,TSV München Ost,TG Landshut,Ost-Dome 1,TSV 1860 München,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-01-21T12:30,Ackermannbogen,TSV München-Solln,null,München Basket 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-21T12:30,MTSV Schwabing 5,MTV München,Morawitzkyhalle,TSV Ismaning,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-01-21T12:30,TSV Vaterstetten,Ackermannbogen,Realschule Baldham,TuS Bad Aibling 2,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-01-21T13:00,TSV Grünwald,TSV OH Deisenhofen,Gymnasium Grünwald,TSV München Ost,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-01-21T13:30,München Basket 2,TuS Fürstenfeldbruck,Grundschule Amphionpark,TSV München Ost,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-21T14:00,Gautinger Sportclub e.V.,SV Mammendorf 2,Realschule,TSV OH Deisenhofen,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-01-21T14:00,TSV Gräfelfing e.V.,TS Jahn München 2,Kurt-Huber-Gymnasium,TSV Trudering,,,
Landesliga U14m Süd,2024-01-21T14:30,DJK SB München 2,TSV München Ost,Fischer-von-Erlach-Halle,SV Mammendorf 2,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-01-21T14:30,TSV 1898 Penzberg,Slama Jama Gröbenzell,Sporthalle am Josef-Boos-Platz,TuS Holzkirchen,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-21T14:30,TSV Jahn Freising,MTV München,Steinpark-Halle,TG Landshut,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-21T15:00,MTV München,TSV Schleißheim,MTV München,TSV Milbertshofen,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-21T15:00,TSV Vaterstetten,BC Hellenen München,Realschule Baldham,TuS Bad Aibling 2,x,,
Kreisliga Herren Südost  Saison 23/24,2024-01-21T16:00,SV Schwindegg,TSV 1896 Freilassing,Hauptschule,SpVgg Altenerding 2,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-01-21T16:30,Gautinger Sportclub e.V.,Slama Jama Gröbenzell,Realschule,TSV OH Deisenhofen,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-01-21T16:45,TSV 1898 Penzberg,TSV Weilheim,Sporthalle am Josef-Boos-Platz,TuS Holzkirchen,x,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-21T17:00,TSV München Ost,TSV Ismaning,Ost-Dome 1,FC Bayern München 3,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-01-21T17:00,VfB Hallbergmoos-Goldach,TSV Schleißheim,Hallberghalle,TSV Ismaning,,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-21T17:30,Ackermannbogen,TSV München-Forstenried,Hauptschule Elisabeth-Kohn-Str.,FV Jahn München,x,,
Kreisliga Herren B (KLHB)  2023/24,2024-01-21T17:30,MTV München,TSV Haar,MTV München,TSV Milbertshofen,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-21T18:00,München Basket 2,TuS Holzkirchen,Grundschule Amphionpark,Sportfreunde BiH München 2021 e.V.,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-21T18:00,SpVgg Altenerding 2,TSV München Ost,Knabenschule,TSV Jahn Freising,,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-21T18:00,SV Bad Tölz,SV Saaldorf,Flintkaserne Sportpark,TSV 1898 Penzberg,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-01-21T18:00,TSV Dorfen,TSV Ismaning,Hauptschule Dorfen,Baskets Vilsbiburg,,,
Bezirksklasse Herren Südost  23/24,2024-01-21T18:00,TV 1863 Miesbach,WSV Glonn,Mittelschulturnhalle,TSV 1860 Rosenheim,,,
Kreisliga Herren B (KLHB)  2023/24,2024-01-21T18:00,TV von 1895 Markt Schwaben,SV Bad Tölz,Lena-Christ Realschule,TSV München Ost,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-21T18:30,TSV Gräfelfing e.V.,TSV Utting,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-21T19:30,BC Hellenen München,SpVgg Höhenkirchen,Adolf-Weber-Gymnasium,Haching Baskets,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-01-21T20:00,Ackermannbogen,VfR Garching 2,Hauptschule Elisabeth-Kohn-Str.,FV Jahn München,x,,
Kreisklasse Herren B (KKHB)  2023/24,2024-01-23T20:30,MTSV Schwabing 5,Maccabi München,MTSV Schwabing,Ackermannbogen,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-26T20:00,TSV 1860 München,MTV München,Wilhelm-Busch-Realschule,FC Bayern München 3,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-26T20:30,TSV München Ost,TSV Jahn Freising,Ost-Dome 1,Maccabi München,,,
Kreisliga Herren B (KLHB)  2023/24,2024-01-26T20:35,FC Anadolu,FC Aschheim,Hauptschule Elisabeth-Kohn-Str.,FV Jahn München,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-01-27T00:00,TSV Vaterstetten,MTSV Schwabing 5,Realschule Baldham,TS Jahn München 2,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-01-27T10:00,FV Jahn München,Ackermannbogen,TS Jahn München,SG Poing,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-27T10:00,MTV München,Gautinger Sportclub e.V.,Berufsfachschule Kinderpflege,FC Anadolu,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-01-27T10:00,TSV Jahn Freising,TG Landshut,Steinpark-Halle,TSV Schleißheim,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-01-27T10:00,TSV München-Forstenried,TS Jahn München 2,GS Baierbrunner Straße,TSV Trudering,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-01-27T11:45,SV Wacker Burghausen 2,TSV Neuötting,Franz-Xaver-Gruber Mittelschule,SV Seeon,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-27T12:00,Haching Baskets,Baskets Vilsbiburg,Lise-Meitner-Gymnasium,TSV Ismaning,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-27T12:00,SV Mammendorf 2,TSV München-Solln,Mehrzweckhalle,TuS Fürstenfeldbruck,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-01-27T12:00,TSV 1865 Dachau,BC Hellenen München,Jahnhalle,München Basket 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-27T12:00,TuS Bad Aibling 2,TG Landshut,Sporthalle im Sportpark,TSV Vaterstetten,,,
Landesliga U14m Süd,2024-01-27T12:15,BC Hellenen München,TS Jahn München 2,Adolf-Weber-Gymnasium,München Basket 2,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-01-27T12:15,FC Bayern München 3,München Basket 2,FC Bayern Campus,Haching Baskets,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-01-27T12:15,TSV 1860 Rosenheim,TG Landshut,Finsterwalder Gymnasium,TSV Trostberg 1863,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-01-27T12:15,TSV Wasserburg,Baskets Vilsbiburg,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-27T12:30,MTV München,TSV Vaterstetten,Berufsfachschule Kinderpflege,FC Anadolu,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-01-27T14:00,SV Wacker Burghausen 2,TSV Neuötting,Franz-Xaver-Gruber Mittelschule,SV Seeon,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-01-27T14:15,Haching Baskets,TV Traunstein,Lise-Meitner-Gymnasium,TSV Ismaning,x,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-27T14:15,TSV Ismaning,Ackermannbogen,Realschule Ismaning,MTV Pfaffenhofen,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-27T14:15,TSV Milbertshofen,BC Hellenen München,Gebrüder-Apfelbeck-Halle,Ackermannbogen,,,
Kreisklasse Herren Südost 23/24,2024-01-27T14:30,TSV 1860 Rosenheim,SV Seeon,Finsterwalder Gymnasium,TSV Trostberg 1863,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-01-27T14:30,TSV Wasserburg,Baskets Vilsbiburg,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-27T14:45,DJK SB München 2,TSV Haar,Fischer-von-Erlach-Halle,MTV München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-27T15:00,München Basket 2,TSV Gräfelfing e.V.,Grundschule Amphionpark,FC Bayern München 3,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-01-27T15:00,TS Jahn München 2,TSV Weilheim,TS Jahn München,TSV München Ost,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-01-27T15:00,TS Jahn München 2,TSV München-Solln,TS Jahn München (alt),TSV Trudering,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-01-27T15:00,TuS Fürstenfeldbruck,Gautinger Sportclub e.V.,Graf-Rasso-Gymnasium,MTV München,,,
Kreisklasse Herren Südost 23/24,2024-01-27T15:30,TuS Prien BRIGENNAS,TSV 1864 Grafing 2,Franziska-Hager-Halle,TSV Wasserburg,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-27T16:30,TSV Ismaning,TSV Grünwald,Realschule Ismaning,MTV Pfaffenhofen,x,,
Kreisklasse Herren Südost 23/24,2024-01-27T16:45,SV Wacker Burghausen 2,TSV Trostberg 1863,Franz-Xaver-Gruber Mittelschule,TV Traunstein,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-01-27T16:45,TSV Wasserburg,TV Traunstein,Luitpold-Gymnasium,TuS Bad Aibling 2,,,
Landesliga U14m Süd,2024-01-27T17:00,TSV Jahn Freising,DJK SB München 2,Steinpark-Halle,TSV 1884 Wolnzach,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-27T17:00,TSV Utting,TuS Geretsried,Sportzentrum ,SV Mammendorf 2,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-27T17:30,VfR Garching 2,BC Hellenen München,Zeppelin Sportpark Garching,Haching Baskets,,,
Kreisliga Herren Südost  Saison 23/24,2024-01-27T18:00,TSV Gars,TSV Bad Reichenhall 2,Hauptschule,WSV Glonn,,,
Kreisliga Herren Südost  Saison 23/24,2024-01-27T18:00,Turn- und Sportverein Raubling e.V.,SV Schwindegg,null,TuS Prien BRIGENNAS,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-27T18:00,TuS Holzkirchen,Haching Baskets,Sportzentrum,Turn- und Sportverein Raubling e.V.,,,
Bezirksklasse Herren Südost  23/24,2024-01-27T18:00,TuS Prien BRIGENNAS,TSV 1860 Rosenheim,Franziska-Hager-Halle,TSV Wasserburg,x,,
Kreisliga Herren B (KLHB)  2023/24,2024-01-27T18:00,TV von 1895 Markt Schwaben,München Basket 2,Lena-Christ Realschule,SVN München,,,
Bezirksklasse Herren Südost  23/24,2024-01-27T19:00,SV Wacker Burghausen 2,SV Seeon,Franz-Xaver-Gruber Mittelschule,TV Traunstein,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-27T19:30,ESV Staffelsee 2,DJK SB München 2,Staffelsee-Gymnasium,TSV Weilheim,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-27T20:00,TS Jahn München 2,SG Poing,TS Jahn München,Maccabi München,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-27T20:00,TS Jahn München 2,München Basket 2,TS Jahn München (alt),TSV München Ost,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-01-28T10:00,ESV Staffelsee 2,TSV München Ost,Staffelsee-Gymnasium,TSV Weilheim,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-01-28T10:00,TS Jahn München 2,TuS Traunreut,Ruth-Drexel-Grundschule,MTSV Schwabing 5,,,
Landesliga U14m Süd,2024-01-28T10:00,TSV München Ost,Baskets Vilsbiburg,Ost-Dome 1,TSV Vaterstetten,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-01-28T11:15,TSV Gräfelfing e.V.,Slama Jama Gröbenzell,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-28T11:30,TSV Weilheim,TSV Gräfelfing e.V.,W.-C.-Röntgen-Mittelschule,Gautinger Sportclub e.V.,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-01-28T12:00,BC Hellenen München,MTV München,Adolf-Weber-Gymnasium,MTSV Schwabing 5,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-01-28T12:00,TuS Bad Aibling 2,TV 1862 Passau,Sporthalle im Sportpark,TSV 1860 Rosenheim,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2024-01-28T12:15,ESV Staffelsee 2,TSV Jahn Freising,Staffelsee-Gymnasium,TSV Weilheim,x,,
Landesliga U14m Süd,2024-01-28T12:15,SB Rosenheim,FC Bayern München 3,Wolfgang-Pohle-Halle,TV 1863 Miesbach,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-01-28T12:15,TSV München Ost,TSV Jahn Freising,Ost-Dome 1,TSV Vaterstetten,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-01-28T12:30,TSV Ismaning,TSV Grünwald,Osterfeldhalle,VfR Garching 2,,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-28T13:00,SV Saaldorf,SV Mammendorf 2,Mehrzweckhalle Saaldorf,TSV Bad Reichenhall 2,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-01-28T14:00,TSV Weilheim,TSV 1898 Penzberg,W.-C.-Röntgen-Mittelschule,Gautinger Sportclub e.V.,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-28T14:30,BC Hellenen München,Haching Baskets,Adolf-Weber-Gymnasium,MTSV Schwabing 5,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-01-28T14:30,TSV München-Solln,TSV 1898 Penzberg,Sporthalle TSV Solln,TSV Gräfelfing e.V.,,,
Bezirksklasse Damen (bkd) 2023/24,2024-01-28T14:30,TSV Wasserburg,TSV München Ost,Luitpold-Gymnasium,TV Traunstein,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-28T15:00,Ackermannbogen,TSV 1865 Dachau,Hauptschule Elisabeth-Kohn-Str.,TSV München Ost,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-01-28T15:00,Ackermannbogen,München Basket 2,Hauptschule Elisabeth-Kohn-Str.,TSV München Ost,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-01-28T15:00,TSV Vaterstetten,München Basket 2,Realschule Baldham,MTV München,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-01-28T15:00,TuS Fürstenfeldbruck,TSV München-Forstenried,Graf-Rasso-Gymnasium,TSV Utting,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-01-28T16:00,TSV Schleißheim,TSV Dorfen,Sporthalle beim Hallenbad,Slama Jama Gröbenzell,x,,
Bezirksklasse Herren Südost  23/24,2024-01-28T16:00,TuS Bad Aibling 2,TV 1863 Miesbach,Sporthalle im Sportpark,TSV 1860 Rosenheim,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-28T16:30,TSV Weilheim,TSV Hechendorf,W.-C.-Röntgen-Mittelschule,TSV München-Solln,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-01-28T16:45,TSV Wasserburg,Baskets Vilsbiburg,Luitpold-Gymnasium,TV Traunstein,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-28T17:00,TSV München Ost,TSV 1884 Wolnzach,Ost-Dome 1,MTV München,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-01-28T17:30,Ackermannbogen,TSV Trudering,Hauptschule Elisabeth-Kohn-Str.,München Basket 2,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-01-28T17:30,Maccabi München,MTV Pfaffenhofen,GS Infanteriestraße,TSV München-Solln,,,
Kreisliga Herren B (KLHB)  2023/24,2024-01-28T17:30,TSV Haar,SV Bad Tölz,Sportpark Eglfing,TSV Trudering,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-28T18:00,SpVgg Höhenkirchen,TSV München Ost,Gymnasium Höhenkirchen-Siegertsbrunn,Haching Baskets,,,
Kreisliga Herren A (KLHA) 2023/24,2024-01-28T18:00,TSV Trudering,SVN München,Gymnasium Trudering,TSV München-Forstenried,,,
Bezirksklasse Herren Südost  23/24,2024-01-28T18:45,WSV Glonn,TSV Trostberg 1863,Spielhalle WSV Glonn,TuS Holzkirchen,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-28T19:00,TSV München-Solln,TSV Milbertshofen,Sporthalle TSV Solln,München Basket 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-01-28T19:00,TSV Schleißheim,SpVgg Altenerding 2,Sporthalle beim Hallenbad,Slama Jama Gröbenzell,x,,
Kreisklasse Herren A (KKHA) 2023/24,2024-01-28T19:30,TSV Ismaning,Ackermannbogen,Osterfeldhalle,FC Aschheim,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-01-28T19:30,TuS Fürstenfeldbruck,TSV Gräfelfing e.V.,Graf-Rasso-Gymnasium,Slama Jama Gröbenzell,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-02-02T20:30,TSV München Ost,MTV München,Ost-Dome 1,TSV Gräfelfing e.V.,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-02-02T20:30,TuS Holzkirchen,Sportfreunde BiH München 2021 e.V.,Sportzentrum,TSV Trudering,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-02-03T09:30,München Basket 2,BC Hellenen München,GS Infanteriestraße,Haching Baskets,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-02-03T10:00,TS Jahn München 2,TSV Gräfelfing e.V.,TS Jahn München,Ackermannbogen,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-02-03T10:00,TSV München-Forstenried,ESV Staffelsee 2,GS Baierbrunner Straße,Gautinger Sportclub e.V.,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-02-03T10:30,München Basket 2,TSV Vaterstetten,Grundschule Amphionpark,DJK SB München 2,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-02-03T11:30,TSV Milbertshofen,TSV Weilheim,Gebrüder-Apfelbeck-Halle,TS Jahn München 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-02-03T12:00,Baskets Vilsbiburg,Haching Baskets,Doppelturnhalle,TG Landshut,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-02-03T12:00,TSV 1865 Dachau,TSV Vaterstetten,Jahnhalle,Slama Jama Gröbenzell,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2024-02-03T12:15,ESV Staffelsee 2,TuS Bad Aibling 2,Staffelsee-Gymnasium,TSV 1898 Penzberg,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2024-02-03T12:15,TSV Jahn Freising,TSV Gräfelfing e.V.,Steinpark-Halle,TSV Milbertshofen,,,
Landesliga U14m Süd,2024-02-03T12:30,DJK SB München 2,FC Bayern München 3,Fischer-von-Erlach-Halle,TSV Gräfelfing e.V.,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-02-03T12:30,MTV München,TSV Weilheim,Berufsfachschule Kinderpflege,TSV München Ost,x,,
Landesliga U14m Süd,2024-02-03T12:30,TS Jahn München 2,TSV München Ost,Ruth-Drexel-Grundschule,MTV München,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-02-03T12:45,München Basket 2,TSV Gräfelfing e.V.,Grundschule Amphionpark,DJK SB München 2,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-02-03T13:15,TSV München-Solln,MTV München,Sporthalle TSV Solln,TSV 1865 Dachau,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-02-03T14:15,Haching Baskets,TSV Vaterstetten,Lise-Meitner-Gymnasium,WSV Glonn,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-02-03T14:30,BC Hellenen München,Slama Jama Gröbenzell,Adolf-Weber-Gymnasium,TSV Trudering,,,
