72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-01T15:00,TSV Vaterstetten,TSV Gräfelfing e.V.,Realschule Baldham,TSV Haar,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-01T15:00,TuS Fürstenfeldbruck,BC Hellenen München,Graf-Rasso-Gymnasium,MTV München,,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-01T16:00,SV Bad Tölz,TV von 1895 Markt Schwaben,Flintkaserne Sportpark,TSV Weilheim,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-10-01T16:00,TSV Schleißheim,VfB Hallbergmoos-Goldach,Sporthalle beim Hallenbad,Slama Jama Gröbenzell,x,,
Bezirksklasse Herren Südost  23/24,2023-10-01T16:00,TuS Bad Aibling 2,TSV 1860 Rosenheim,Sporthalle im Sportpark,TuS Prien BRIGENNAS,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-01T16:45,TSV München-Solln,DJK SB München 2,Sporthalle TSV Solln,TSV Ismaning,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-01T17:00,Ackermannbogen,Haching Baskets,Hauptschule Elisabeth-Kohn-Str.,TSV Gräfelfing e.V.,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-01T17:00,Slama Jama Gröbenzell,Gautinger Sportclub e.V.,Ballsporthalle Gröbenzell,TuS Fürstenfeldbruck,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-01T17:00,Turn- und Sportverein Raubling e.V.,TSV Bad Reichenhall 2,null,TuS Bad Aibling 2,,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-01T17:30,TSV Haar,MTV München,Sportpark Eglfing,SpVgg Höhenkirchen,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-01T18:00,SpVgg Höhenkirchen,BC Hellenen München,Gymnasium Höhenkirchen-Siegertsbrunn,WSV Glonn,,,
Kreisklasse Herren Südost 23/24,2023-10-01T18:00,SV Wacker Burghausen 2,TSV 1864 Grafing 2,Sportparkhalle,TuS Töging,,,
Bezirksklasse Herren Südost  23/24,2023-10-01T18:45,WSV Glonn,TV 1863 Miesbach,Spielhalle WSV Glonn,München Basket 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-01T19:00,TSV Schleißheim,MTV München,Sporthalle beim Hallenbad,Slama Jama Gröbenzell,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-01T19:30,TSV Jahn Freising,TSV München Ost,Steinpark-Halle,TG Landshut,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-01T19:30,TuS Fürstenfeldbruck,TSV Milbertshofen,Graf-Rasso-Gymnasium,Gautinger Sportclub e.V.,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-03T12:00,TuS Bad Aibling 2,ESV Staffelsee 2,Sporthalle im Sportpark,TSV Wasserburg,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-03T13:30,FV Jahn München,München Basket 2,Ruth-Drexel-Grundschule,TSV Vaterstetten,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-03T18:15,MTV Pfaffenhofen,Maccabi München,Sporthalle Mittelschule,TSV 1884 Wolnzach,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-07T00:00,TSV Gräfelfing e.V.,TSV Weilheim,Kurt-Huber-Gymnasium,Gautinger Sportclub e.V.,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-07T00:00,TSV Gräfelfing e.V.,München Basket 2,Kurt-Huber-Gymnasium,TSV München-Solln,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-07T09:00,München Basket 2,FC Bayern München 3,GS Infanteriestraße,TS Jahn München 2,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-07T10:00,MTV München,BC Hellenen München,Berufsfachschule Kinderpflege,Maccabi München,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-07T10:00,TG Landshut,TSV Jahn Freising,Sportzentrum West Halle 4/5,TSV Dorfen,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-07T10:00,TS Jahn München 2,TSV München-Forstenried,TS Jahn München,MTSV Schwabing 5,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-07T10:00,TSV Jahn Freising,München Basket 2,Steinpark-Halle,MTV München,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-07T10:00,TV Traunstein,Haching Baskets,Annette-Kolb-Gymnasium,SV Wacker Burghausen 2,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-07T12:00,DJK SB München 2,Slama Jama Gröbenzell,Fischer-von-Erlach-Halle,TSV München Ost,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-07T12:00,Haching Baskets,BC Hellenen München,Lise-Meitner-Gymnasium,DJK SB München 2,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-10-07T12:00,TV Traunstein,TSV Wasserburg,Annette-Kolb-Gymnasium,SV Wacker Burghausen 2,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-07T12:15,FC Bayern München 3,TG Landshut,FC Bayern Campus,TSV Jahn Freising,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-07T12:15,TSV Jahn Freising,ESV Staffelsee 2,Steinpark-Halle,MTV München,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-07T12:30,München Basket 2,TSV Vaterstetten,Grundschule Amphionpark,Sportfreunde BiH München 2021 e.V.,,,
Landesliga U14m Süd,2023-10-07T12:30,TSV München Ost,DJK SB München 2,Ost-Dome 1,TS Jahn München 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-07T13:00,TSV Haar,DJK SB München 2,Ernst-Mach-Gymnasium,TuS Bad Aibling 2,,,
Kreisklasse Herren Südost 23/24,2023-10-07T14:00,TSV Trostberg 1863,SV Wacker Burghausen 2,Alois-Böck-Halle,SV Seeon,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-07T14:00,TSV Vaterstetten,MTV München,Realschule Baldham,WSV Glonn,,,
Landesliga U14m Süd,2023-10-07T14:30,BC Hellenen München,Baskets Vilsbiburg,Adolf-Weber-Gymnasium,TSV Jahn Freising,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-07T14:30,DJK SB München 2,ESV Staffelsee 2,Fischer-von-Erlach-Halle,TSV München Ost,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-07T14:30,TSV Neuötting,SV Wacker Burghausen 2,Max-Fellermeier-Volksschule,Baskets Vilsbiburg,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-07T14:30,TV 1862 Passau,TuS Bad Aibling 2,Städt. Mehrfachhalle,SV Wacker Burghausen 2,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-07T15:00,Baskets Vilsbiburg,TSV Wasserburg,Ballsporthalle,TSV Neuötting,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-07T15:00,MTV München,Slama Jama Gröbenzell,Berufsfachschule Kinderpflege,Ackermannbogen,x,,
Landesliga U14m Süd,2023-10-07T15:00,SB Rosenheim,BG Leitershofen/Stadtbergen,Wolfgang-Pohle-Halle,TuS Bad Aibling 2,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-07T15:00,SG Poing,TS Jahn München 2,Dreifachhalle,TSV Vaterstetten,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-07T15:30,TSV München-Solln,SV Mammendorf 2,Sporthalle TSV Solln,TSV 1860 München,x,,
Bezirksklasse Herren Südost  23/24,2023-10-07T16:00,TV Traunstein,TSV Wasserburg,Annette-Kolb-Gymnasium,TSV 1896 Freilassing,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-07T16:30,TSV Bad Reichenhall 2,TSV Gars,Karlsgymnasium,TV Traunstein,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-07T16:45,TG Landshut,TuS Bad Aibling 2,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-07T17:30,MTV München,TSV 1860 München,Berufsfachschule Kinderpflege,Ackermannbogen,x,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-07T17:30,Sportfreunde BiH München 2021 e.V.,TuS Holzkirchen,Berufsschule Dreifachhalle,Haching Baskets,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-07T17:45,TSV München-Solln,TS Jahn München 2,Sporthalle TSV Solln,TSV 1860 München,x,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-07T18:00,FC Aschheim,FC Anadolu,St.-Emmeram-Realschule,TSV Haar,,,
Bezirksklasse Herren Südost  23/24,2023-10-07T18:00,TSV 1860 Rosenheim,TuS Prien BRIGENNAS,Finsterwalder Gymnasium,SB Rosenheim,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-07T19:00,SVN München,TSV Trudering,SVN Sportpark,Haching Baskets,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-07T19:00,TSV Hechendorf,TSV Weilheim,Zweifachsporthalle,TSV Utting,,,
Bezirksklasse Herren Südost  23/24,2023-10-07T19:00,TSV Trostberg 1863,WSV Glonn,Alois-Böck-Halle,TV Traunstein,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-07T19:00,TuS Geretsried,TSV Utting,Gymnasium Icking,DJK SB München 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-07T19:15,Haching Baskets,TuS Holzkirchen,Lise-Meitner-Gymnasium,TSV Trudering,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-07T19:30,München Basket 2,TS Jahn München 2,Grundschule Amphionpark,TSV Gräfelfing e.V.,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-08T10:00,TS Jahn München 2,SV Wacker Burghausen 2,Ruth-Drexel-Grundschule,DJK SB München 2,,,
